便塊除去	摘便
血小板数の減少	血小板数減少
前立腺肥大の疑い	前立腺肥大
糖尿病（食事療法のみ）	糖尿病
Ｈ１９．１２痔の手術	痔核手術
胆石症→手術	胆石摘出
ヘリコバクターピロリ感染	ヘリコバクター・ピロリ感染
膨隆疹（左上腕）	限局性蕁麻疹
皮膚湿疹	湿疹
転倒による左上腕内出血斑	無し
微小血栓	血栓症
脱腸手術	鼡径部ヘルニア修復
血清尿酸値上昇	血清尿酸増加
僧房弁閉鎖不全	僧帽弁閉鎖不全
緊張性尿失禁	腹圧性尿失禁
左石灰沈着性肩関節炎	石灰沈着性関節周囲炎
発赤（顔面）	顔面発赤
肝ガン	肝癌
胃がもやもやする	胃不快感
左足関節捻挫	足関節捻挫
加齢黄斑変性（左眼）	加齢黄斑変性
便秘症増悪	便秘増悪
（褥創性潰瘍）	褥瘡性潰瘍
左大腿あたりに外傷性血腫ができた	外傷性血腫
フラツキ倦怠感【フラツキ】	ふらふら感
心臓造影ＣＴ	ＣＴスキャン
大腿部打撲	大腿部の挫傷
歯周疾患	歯周病
熱傷（腰部）	背部熱傷、程度不明（部位を限定しない）
詳細不明の肝疾患	肝疾患ＮＯＳ
好酸球上昇	好酸球数増加
両眼内レンズ挿入眼	眼内レンズ挿入眼
回腸の潰瘍性病変	回腸潰瘍
光線過敏症ＮＯＳ	光線過敏症
塵肺急性憎悪	じん肺症
親指つけね擦過傷	皮膚擦過傷
不穏及び不安	無し
陳急性脳梗塞	陳旧性脳梗塞
右頚部リンパ節腫張	頚部リンパ節腫脹
足底皮膚角化	足底角化症
反回神経麻痺（右側）	反回神経麻痺
閉経期症状予防のためのホルモン補充	閉経期症状予防
好酸球性副鼻腔炎	副鼻腔炎
スティール症候群	スチール症候群
両肘の痛み	肘部痛
経口避妊薬使用中の患者が妊娠２か月	経口避妊薬服用中の妊娠
右上腕二頭筋部分断裂	筋断裂
打撲【右ひじと右大腿部】	挫傷
両手（母指、中指）水疱	水疱
咳が止まらない	咳嗽
下肢急性湿疹	急性湿疹
両側足関節痛	下肢の関節痛
右手掌部硬結	皮膚硬結
好中球減少	好中球数減少
Ｃ型肝炎１４年前に指摘も、インターフェロン治療にてウイルス消失し、以後肝機能正常	Ｃ型肝炎
眼瞼痙攣の悪化	眼瞼痙攣
傍中心窩脈絡膜新生血管を伴う加齢黄斑変性	無し
クルッケンベルグ転移	クルーケンベルグ腫瘍
死亡【ASO（閉塞性動脈硬化症）の悪化】	閉塞性動脈硬化症
便中ヘモグロビン陽性	便潜血陽性
ｈｙｐｅｒ ｌｉｐｉｄｅｍｉａ	高脂血症
左上葉肺癌	肺癌
足爪白線	爪白癬
プロテインＳ活性低値	プロテインＳ減少
鼻中隔湾曲症（ｏｐｅ）	鼻中隔弯曲修復
強いアレルギー反応	アレルギー反応
白血球（増加）	白血球増加
褥瘡（仙骨部）	褥瘡
中脳梗塞	脳梗塞
空間失認	空間失見当識
右下腿前面の疼痛	下肢痛
肝転移に由来する胃静脈瘤（からの消化管出血）	無し
下肢壊疽	末梢性壊疽
両下肢静脈瘤	下肢静脈瘤
胃壁保護	予防
右腎萎縮	腎萎縮
足に痛み	足部痛
減少	無し
冠動脈ステント術	冠動脈ステント装着
末端チアノーゼ	先端チアノーゼ
右変形性股関節症	変形性股関節症
頭部の掻痒感	限局性そう痒
咽頭異物	咽頭内異物
虚弱体質	虚弱
右目違和感	眼の違和感
目の下のかゆみ掻痒	顔面そう痒症
急性大腸炎	大腸炎
帯下増量	腟分泌物異常
口角の乾燥	口唇乾燥
皮膚掻ヨウ症	皮膚そう痒症
クラミジア陽性	クラミジア検査陽性
冠動脈ステント植え込み状態	冠動脈ステント装着
膵アミラーゼ上昇	血中膵型アミラーゼ増加
脂肪肝による肝機能障害	無し
形成術	外科手術
胃潰瘍からの出血	出血性胃潰瘍
食道癌術后	食道癌
Ｔ－ｂｉｌ上昇	総ビリルビン増加
総胆管癌（ステント留置）	胆管癌
右眼内レンズ挿入眼（人工水晶体眼）	眼内レンズ挿入眼
呼吸器感染症	呼吸器感染
口唇の出血斑	口唇出血
血小板増多症	血小板増加症
凝固系検査異常変動（プラスミノーゲン活性上昇ＴＡＴ上昇プロテインＳ低下）	無し
胸のつかえる感じ	胸部異常感
筋肉炎	筋炎
シャント肢掻痒【血管穿刺部そう痒】	血管穿刺部位そう痒感
・高脂血症	高脂血症
出血性小脳梗塞	出血性脳梗塞
左前腕静脈奇形の疑い	静脈奇形
気持ち悪さ	悪心
肺がん術後再発	再発肺癌
ＩＮＲ延長	ＩＮＲ増加
右前腕内出血	無し
頭皮内湿疹	湿疹
慢性腎機能低下（ＣＫＤ）	慢性腎臓病
左大腿骨頸部骨折	大腿骨頚部骨折
胸部皮疹	体幹皮疹
接触性皮膚炎（右足）	接触皮膚炎
右眼疼痛	眼痛
Ａ-ＬＰ上昇	ＡＬＰ増加
ｉ‐ＰＴＨ異常値	ＰＴＨ異常
左胸部の疼痛	胸痛
右乳癌（術後）	乳癌
肺リンパ脈管筋腫症	リンパ管筋腫症
右結膜異物	眼内異物
皮疹背部	体幹皮疹
切創からの出血	創傷出血
転移、左下肺野	肺転移
肝癌でＴＡＥ（他院）１９９１	肝癌
両側腎摘による腎不全維持透析Ｈ１５～	術後腎不全
上部消化管造影検査	上部消化管造影
寝つけない	入眠障害
胆石（胆嚢摘出后）	胆石摘出
慢性好酸球性肺炎７９才	慢性好酸球性肺炎
房室結節リエントリー性頻拍	房室結節性リエントリー性頻脈
自覚症状（しんどい）	疲労
不明。血清クレアチニンの軽度高値。	血清クレアチニン増加
血糖測定部位の出血が軽度遷延	ブドウ糖試験部位出血
後頭部皮下粉瘤切開排膿	皮下粉瘤
浅腸骨回旋動脈仮性動脈瘤	偽動脈瘤
早期直腸癌	直腸癌
四肢・血管・その他:左前腕静脈奇形	静脈奇形
両足が痛く、末梢神経障害の疑い	末梢神経障害性疼痛
外傷性頚部症候群	むち打ち損傷
２１才盲腸手術（虫垂炎手術）	虫垂炎
心奇形に伴う低酸素血症	無し
ガン死	癌
ＨＦＳ（右足裏）	手足症候群
アルブミン値低下	アルブミン減少
切除不能肝癌	切除不能な肝癌
肺動脈血栓塞栓症予防	動脈血栓塞栓症予防
胃潰瘍（完治）	胃潰瘍
脳動脈瘤クリップ術	脳内動脈瘤クリッピング
ＤＭ性神経障害	糖尿病性ニューロパチー
鼻腔悪性黒色腫	皮膚の悪性黒色腫
２９歳十二指腸潰瘍	十二指腸潰瘍
う歯悪化	齲歯増悪
右慢性中耳炎	慢性中耳炎
左腎感染	腎感染
脚の痛み	下肢痛
右上下肢筋力低下	四肢片側脱力
ｐｃｏ	無し
齲歯（右上顎第２小臼歯）	齲歯
アレルギー性上気道炎の疑い	上気道の炎症
Ｐ‐アミラーゼ上昇	血中膵型アミラーゼ増加
尿量低下	尿量減少
椎間板性腰痛症【腰痛】	腰痛
便秘、食欲不振	無し
微小血尿	血尿
歯芽腫	口腔内新生物
十二指腸潰瘍部出血	出血性十二指腸潰瘍
右肩のこり	肩こり
ＫＬ６上昇	ＫＬ－６増加
腎癌の肺転移巣による気道刺激症状（咳嗽）	無し
左前腕紫斑	紫斑
下大静脈瘤	静脈瘤
下腿乾癬	乾癬
たん	痰
月経前の症状	月経前症候群
上肢筋力低下（左手）	上肢筋力低下
０才幽門狭窄手術	幽門狭窄
ⅡＡ型高脂血症	２ａ型高脂血症
右遊走腎	遊走腎
高コレステローる血症	高コレステロール血症
真菌感染症	真菌感染
縦隔リンパ節結核	リンパ節結核
手足顔面の発赤	発赤
血管外性細胞腫	無し
冠攣縮	冠血管攣縮
癌【発生部位・臓器の記載無く不明】	癌
眼球振盪	眼振
甲状腺癌手術後	甲状腺癌
生理日をずらすことや調節	月経周期管理
皮膚が黒くなった	暗色皮膚
総胆管結石採石手術（外科）（Ｓ６２）	胆管内胆石除去
舌の異和感	舌の異常な感覚
右脛骨骨壊死	骨壊死
中性脂肪（検査値）の増加	トリグリセリド増加
蕁麻疹（四肢）	蕁麻疹
陰部びらん	性器びらん
爪の色変化	爪変色
左下葉肺癌疑い	肺癌
ぜんそく	喘息
肺良性腫瘍手術	肺の良性新生物
糖尿病治療	糖尿病
軽度の出血性胃炎	出血性胃炎
裂傷（額）	顔面裂傷
本態性振戦の悪化	本態性振戦
右足指炎症	局所の炎症
縦隔腫瘍（３５才）	縦隔新生物
粗大な振戦	粗大振戦
脂肪性肝炎	無し
四肢-悪性線維性組織球腫	悪性線維性組織球腫
頭部掻痒感	限局性そう痒
湿疹皮膚炎	湿疹性皮膚炎
癌の進行	癌
頭頸部-声門癌	声門癌
自然気胸（２０年前、４年前）	自然気胸
労作時の呼吸苦	労作性呼吸困難
血清Ｎａ値低下	血清ナトリウム減少
γＧＴＰ値の上昇	γ－グルタミルトランスフェラーゼ増加
足が浮腫んだ	足部浮腫
低活動性せん妄	低活動型譫妄
左踵骨骨折	踵骨骨折
右第５中足骨骨折	中足骨骨折
虫垂炎→術后	虫垂炎
肛門周囲膿瘍による出血【出血，ATTENDANT SYMPTOM OF THE PERIANAL ABSCESS】	肛門周囲出血
右ひざ打撲	膝の挫傷
房室弁輪物プラーク様構造物	無し
術後残存乳房照射	乳房放射線療法
不詳、ＣＫＤです。	慢性腎臓病
手・足の皮フの紅斑	皮膚紅斑
食欲増進	食欲亢進
原発性肝細胞癌	肝細胞癌
うつ	うつ病
骨折（左上腕骨）	上腕骨骨折
２－ＨＰＴ	続発性副甲状腺機能亢進症
左変形性膝関節症の悪化	変形性膝関節症
右角膜潰瘍（再燃）	角膜潰瘍
Ｃｙｓｔｏｒｈｅｍａｎｇｉｏｍａ	無し
胃痛（心窩部痛）	心窩部痛
視野暗点	暗点
シクロスポリンのトラフ値上昇	抗生剤濃度ＮＯＳ増加
表皮剥離	皮膚剥離
皮フ消毒	感染予防
卵巣腫瘍摘出	卵巣新生物
紫斑様湿疹	紫斑性皮疹
進行性全身硬化症（ＰＳＳ）	進行性全身性硬化症
心臓血管バイパス術後	冠動脈バイパス
尿たんぱく上昇	尿蛋白増加
腎高尿酸血症	高尿酸血症
反射運動能力低下	反射減弱
解離性下行大動脈瘤	解離性大動脈瘤
右麻痺	右側麻痺
糖尿病疑い悪化	糖尿病増悪
良性発作性頭位変換めまい症	良性発作性頭位性回転性めまい
多形型滲出性紅斑	多形滲出性紅斑
虫垂切除（中学生）	虫垂切除
う歯（右上５番）	齲歯
脹脛の痛み	ふくらはぎ痛
顔面火照り感	顔面のほてり
脂漏生湿疹	脂漏性湿疹
４３歳乳癌	乳癌
上下口唇縁に紅斑小水疱	口唇水疱
左母趾爪甲剥離	爪甲剥離症
血清ＢＵＮ上昇	血清尿素増加
Ｃｃｒ４４．２ｍｌ/ｍｉｎ	無し
高ＡＬＴ	ＡＬＴ高値
脳血栓塞栓症再発	大脳塞栓症
左足の斑状出血	斑状出血
肝硬変に伴う栄養障害（栄養障害）	栄養障害
白内障（ｏｐｅ）	白内障手術
Ａｍｙ高値	アミラーゼ高値
スティーブンジョンソンＳｙｎｄ	スティーブンス・ジョンソン症候群
両側腎結石	腎結石
Ｈ１６年脳出血	脳出血
髄膜種ｏｐｅ１９９８年	髄膜腫手術
皮下出血（左の二の腕と左足太もも）	皮下出血
左頚部リンパ節炎	頚部リンパ節炎
ふくらはぎのむくみ	下肢浮腫
腎細胞癌死	腎細胞癌
倦たい感ETC	倦怠感
下部直腸出血	直腸出血
アレルギー様症状[ＤＣＦにて事象名が「アレルギー」から「アレルギー様症状」に変更、コメント欄に「原因の特定は困難であった」と追記された]	アレルギー反応
肝内胆管癌増悪	肝内胆管癌
γ－ＧＴＰ高値	γ－グルタミルトランスフェラーゼ高値
右腎盂癌	腎盂の悪性新生物
右肩石灰沈着性腱板炎	肩の石灰化腱炎
手足のふるえ	四肢振戦
多発肋骨骨折	肋骨骨折
左外側大腿皮神経痛	下肢神経痛
不整脈（ブルガダ型）	ブルガダ症候群
消化管症状（食欲不振）	食欲不振
SLEEP APNEA	睡眠時無呼吸
不正出血（不正子宮出血）	不正子宮出血
口唇血腫除去術	口唇血腫
陰襄皮疹	男性性器皮疹
頸部皮疹	頚部皮疹
尿道下裂（７歳：手術）	尿道下裂修復
上腕骨大結節骨折	上腕骨骨折
頸部動脈狭窄症	頚動脈狭窄
消化器:IPMN	膵管内乳頭粘液性腫瘍
肝炎（２０才）	肝炎
項部の皮疹	頚部皮疹
ざ瘡性皮疹	ざ瘡様皮疹
回盲部腫瘍術後	消化器新生物
ホルモンバランスが悪い	ホルモン失調
膀胱癌術後	膀胱癌
左下顎歯肉部潰瘍	歯肉潰瘍
γ‐ＧＴ上昇	γ－グルタミルトランスフェラーゼ増加
脳梗塞後遺症の増悪	脳梗塞後遺症
原疾患の増悪【腎細胞癌】	腎細胞癌
苛立ち	易刺激性
Ａｎｅｍｉａ ｏｆ ｃｈｒｏｎｉｃ ｄｉｓｏｒｄｅｒ	慢性疾患の貧血
湿疹（全身）	全身性湿疹反応
右上肢表在静脈血栓性静脈炎	表在性上肢血栓性静脈炎
手足の冷え	手足の冷感
肝機能臨床検査値異常	肝機能検査異常
回盲部腫瘍	消化器新生物
インプラント手術後出血	術後出血
肝機能障害ビリルビン値上昇	無し
外陰の隆起性皮疹	女性性器皮疹
消化器症状（下痢）	下痢
手術創周囲の蜂巣炎	切開部位蜂巣炎
総コレステロールの減少	総コレステロール減少
除脈頻脈症候群	徐脈頻脈症候群
末梢神経障害（Ｌ－ＯＨＰによる）	末梢性ニューロパチー
左下肢発赤	下肢発赤
器質性月経困難症	月経困難症
続発性副甲状腺機能亢進症悪化	続発性副甲状腺機能亢進症
１型アレルギー	アレルギー
けんたいかん	倦怠感
副腎亜全摘術	副腎摘除
左肩のしびれ	肩のしびれ感
めまいＡＢＣ	めまい感
間質性肺炎の悪化	間質性肺炎増悪
門脈圧亢進	門脈圧亢進症
足のチクチク感	足錯感覚
性器出血（スメアによる）	処置後出血
胆のう結石（ｏｐｅ後）	胆石摘出
眼脂発現	眼脂
ＡＬＰ上昇	ＡＬＰ増加
バージャー氏病	バージャー病
左腕の発疹	腕の皮疹
甲状腺機能亢進症（平成５年より	甲状腺機能亢進症
びまん性脱毛	びまん性脱毛症
患者は化学療法を受けた	化学療法ＮＯＳ
くりアレルギー	食物アレルギー
顔面脂漏性皮膚炎	脂漏性皮膚炎
毛膿炎（頭部）	毛包炎
間質性肺炎の出現	間質性肺炎
慢性腎臓病の増悪	慢性腎臓病
足に発疹	四肢皮疹
眼内異和感	眼の違和感
左下肢痺れ	下肢のしびれ感
疾患合併症ＮＯＳ	疾患合併症
膵臓のCT検査	ＣＴスキャン
腹部大動脈	無し
維持療法が必要な難治性逆流性食道炎	逆流性食道炎
AVM（動静脈奇形）	動静脈奇形
２６才頃胃潰瘍	胃潰瘍
左足背皮膚血腫	皮下血腫
左急性中耳炎	急性中耳炎
全身の倦怠感	全身倦怠
生理時に頭痛	頭痛
左前腕内シャント狭窄	シャント狭窄
左乳房からの良性嚢胞切除	良性乳房腫瘤除去
皮脂欠乏性皮フ炎	皮脂欠乏性皮膚炎
左感音性難聴	感音性難聴
手足口症候群【手足口病】	手足口病
Ｂ肝→完治【Ｂ型肝炎】	Ｂ型肝炎
左第１指しびれ	手指のしびれ感
右手背切創部出血	創傷出血
ＴＧ増加	トリグリセリド増加
直腸平滑筋肉腫	平滑筋肉腫
過長月経（不正出血）	過長月経
ＱＴｃ延長	心電図ＱＴ補正間隔延長
便秘気味	便秘
胃全摘（胆・脾合併切除）	胃全摘
右眼慢性涙のう炎	慢性涙嚢炎
死亡（病勢進行）	無し
ものわすれ	もの忘れ
踵部発赤	下腿紅斑
左拇指打撲	指の挫傷
左腎摘出後（移植ドナー）	腎提供者
性的高揚	性的興奮増加
慢性胆のう炎	慢性胆嚢炎
出血性脳卒中	出血性卒中
歯周組織炎	歯周炎
脳性マヒ	脳性麻痺
右変形性膝関節症２０１０１１／８右ＴＫＡ施行	変形性膝関節症
認知症によるせん妄	無し
骨盤-その他-(診断名を記載のこと) 転移、播種なし【基礎疾患不明】	骨障害
発疹(ざ瘡様皮疹)	ざ瘡様皮疹
虫さされ（左薬指つけ根）	虫刺傷
ＰＴ減少【プロトロンビン時間（％）】	プロトロンビン時間延長
ＩＯＬ（眼内レンズ挿入術）（右眼）	眼内レンズ挿入
食物ｱﾚﾙｷﾞｰ	食物アレルギー
卵巣嚢腫の手術	卵巣嚢腫摘出術
高ＣＲＰ	Ｃ－反応性蛋白検査結果高値
好中球球増加	好中球増加
げっぷ（おくび）	おくび
病勢進行（肝細胞癌の進行）	肝細胞癌
糖尿病３０才台から	糖尿病
中毒疹疑い	中毒疹
ＣＡＢＧ術後	ＣＡＢＧ
皮下腫瘍	皮膚腫瘍
左室瘤切除術後	心臓瘤修復
前胸部不快感	胸部不快感
老年期精神障害	精神障害
死亡（原因不明）	原因不明の死亡
デュアルチャンバー永久ペースメーカー	恒久的心臓ペースメーカー植込み
悪性リンパ腫浸潤疑い	遠隔転移を伴うリンパ腫
出血斑（四肢を含む身体中のあちこち）	皮下出血斑
広汎性発達障害の疑い	広汎性発達障害
生理周期調節	月経周期管理
排便時の下血	血便排泄
両側腎萎縮	腎萎縮
塞栓症予防目的	血栓症予防
大腸憩室からの出血	出血性結腸憩室
ＡＳＯ増悪	無し
２００１年１１月６日ＰＴＣＡ施行	経皮的冠動脈形成
高ＡＳＴ血症	ＡＳＴ高値
足がしびれている	足のしびれ感
上室期外収縮	上室性期外収縮
低血圧症（透析時）	透析時低血圧
経皮的ラジオ波焼灼術（ＲＦＡ）	ラジオ波焼灼療法
悪心の悪化	悪心増悪
膀胱癌の再発疑	再発膀胱癌
脱カプセルで服用	カプセルからの不適切な薬剤取り出し
足先の皮フのめくれ	足指剥脱
発熱３９℃	発熱
右肩－上腕痛	肩痛
術後腸管癒着	腸管癒着
子宮・卵管造影ＭＲＩ検査	ＭＲＩ
膵酵素（リパーゼ）上昇	リパーゼ増加
回転性めまい症	回転性めまい
疲れ	疲労
凝固因子（第Ⅴ因子）活性低下	凝固第Ｖ因子量減少
左手関節部ガングリオン	関節のガングリオン
ＩＰ減少（血中リン減少）	血中リン減少
眼底出血増悪	眼底出血
肺結核の手術	肺結核
尿中ＷＢＣ上昇	尿中白血球増加
仙腸関節肥大症術後	関節腫脹
左大腿部痛	大腿痛
腹部痛	腹痛
水腫	無し
多発胆石	胆石
シャント末梢静脈高血圧	静脈圧上昇
原因は不明（高血圧？）	高血圧
経皮冠動脈形成術	経皮的冠動脈形成
脂質異常症クレストール内服	脂質異常症
鼻腔からの出血	鼻出血
大腸ポリープの悪化	大腸ポリープ
8W毎投与では滲出性変化が再発するため投与間隔短縮	無し
肺疾患（不明）	肺疾患
ＭＣＨ高値	平均赤血球ヘモグロビン増加
ヘモグロビン上昇	ヘモグロビン増加
強い眠気	眠気
頭頸部-耳下腺良性混合腫瘍	耳下腺混合腫瘍
皮膚黄染ＮＯＳ	皮膚黄染
肋骨腫瘍破裂	腫瘍破裂
呼名反応なし	言語刺激反応低下
右下肢（踵部～アキレス腱部）褥創	褥瘡
両）前増殖糖尿病網膜症	前増殖糖尿病網膜症
前立腺肥大症(手術後)	前立腺肥大症
薬剤起因性胃潰瘍	胃潰瘍
トイレが近い	頻尿
シャント部周辺の痛み【静脈穿刺部痛】	静脈穿刺部位疼痛
未破裂内頸動脈瘤	内頚動脈瘤
性交後下腹痛	性交後疼痛
全身点状皮疹	全身性斑状皮疹
消化管出血（大腸）	大腸出血
気管支喘息重積発作	喘息発作重積
アレルギー性皮膚炎（左前腕）	アレルギー性皮膚炎
胃瘻周囲膿瘍	ストーマ周囲膿瘍ＮＯＳ
下肢のつり【筋痙攣】	下肢痙攣
リパーゼ	無し
脳（視床）出血	視床出血
右深部静脈血栓	深部静脈血栓症
母趾痛	足指痛
右目麦粒腫	麦粒腫
資質異常症	脂質異常症
皮下出血（右下腿）	皮下出血
血腫（背中）	血腫
薬剤名不明による倦怠感	全身倦怠
肝膿瘍、腹膜膿瘍疑い	無し
急性ウィルス性胃腸炎	ウイルス性胃腸炎
右脳幹梗塞	脳幹梗塞
子宮頸部上皮異形成異型度３（円錐切除術）	子宮頚部上皮異形成
生理周期が短い	過短月経
経腟超音波検査	腟超音波検査
左甲状腺腫	甲状腺腫
左横隔神経麻痺	横隔神経麻痺
右側顔面神経麻痺	顔面神経麻痺
大動脈弁狭窄兼閉鎖不全症（大動脈弁置換術後）	大動脈弁狭窄および閉鎖不全
左大腿内脂肪腫	脂肪腫
混合性認知症	混合型認知症
ＳＬＥの悪化	ＳＬＥ症候群増悪
右手4、5指痛	手指痛
骨盤真菌感染	骨盤内感染
足と両足首の浮腫	下肢浮腫
胃癌（＇０９．１０．２９判明）	胃癌
足壊死	四肢壊死
左結膜炎	結膜炎
骨盤内巨大血腫	骨盤内血腫
Ｔ－Ｂｉｌｌ	総ビリルビン増加
慢性活動性Ｃ型肝炎	慢性Ｃ型肝炎
血清リパーゼ値上昇	リパーゼ増加
深部静脈血栓症/右浅大腿静近位部位遠血栓	大腿深部静脈血栓症
両側大脳半球皮質下微小出血	脳微小出血
耳殻内の化膿疹	発疹部感染
唇と舌のピリピリ感	口の錯感覚
左基底核に微小な梗塞巣	脳梗塞
けいれん（下肢）	下肢痙攣
６０歳副鼻腔炎	副鼻腔炎
おう吐	嘔吐
片麻痺性偏頭痛	片麻痺性片頭痛
再燃再発を繰り返す逆流性食道炎の維持療法	逆流性食道炎
総胆管転移	胆道転移
重症薬疹	薬疹
胃腸障害（嘔気）	嘔気
ＴＢｉｌ↑	ビリルビン増加
右内頚動脈閉塞	頚動脈閉塞
腫瘤摘出	腫瘤切除
白血球の上昇	白血球増加
失便	便失禁
鼡径ヘルニア手術	鼡径部ヘルニア修復
乳ガンｏｐｅ后	乳癌
胸部痛	胸痛
消化異常症状の改善	消化異常症状
両側腎結石症	腎結石
回盲部癌（６２才）	結腸癌
TB tuberculosis 結核菌感染症	結核
ＨＦＳＲ手足ｇｒａｄｅ１	手足症候群
食後の火照り感	ほてり感
両母趾圧痛	足指痛
初老期うつ病	うつ病
腸炎（感染性）	感染性腸炎
冠動脈形成術後再狭窄	冠動脈再狭窄
頭蓋骨転移	骨転移
毛虫皮膚炎	毛虫皮膚炎
三度房室ブロック	第三度房室ブロック
臍帯血移植	臍帯血移植療法
軽度の背部痛（腰椎）	腰椎の疼痛
透析後低血圧	処置による低血圧
顔面に発疹	顔面発疹
のう胞症（乳房）	乳房嚢胞
肝機能障【肝機能障害】	肝機能障害
口腔内カンジダ症	口腔カンジダ症
腕の皮が剥ける	皮膚剥離
噛まずに服用	薬剤の不適切な噛み砕き
生殖器・尿路:子宮筋腫	子宮筋腫
Ｓ状結腸腫瘍	結腸新生物
ＣＲＰ高値の悪化	Ｃ－反応性蛋白検査結果高値
慢性眼瞼炎	眼瞼炎
瞳孔形成不全	先天性眼障害
右肘部・左膝部皮下血腫	皮下血腫
左踝打撲	足関節の挫傷
下肢壊疽切断後	末梢性壊疽
右眼結膜下出血	結膜下出血
右顔面浮腫	顔面浮腫
両側頸動脈狭窄	頚動脈狭窄
うっ血型心筋症	うっ血性心筋症
左大腿骨転子部骨折	大腿骨転子部骨折
不整脈（ペースメーカー植え込み	不整脈
変形性ヒザ関節症	変形性膝関節症
走るとめまいがする	めまい感
鼻のむずむず感	鼻不快感
足先にしびれ	足指のしびれ感
腹痛（Ｈ２１．５／１５～）	腹痛
直接ビリルビンの上昇	直接ビリルビン増加
顔皮疹	顔面皮疹
鼻づまり	鼻詰まり
左手掌異物残留	表在性異物
鋤骨骨折	頭蓋底骨折
頸動脈狭窄→ステント留置	頚動脈狭窄
左軸偏位	Ｑ波軸、左軸偏位
多発性紅斑	紅斑
黄班部出血	黄斑部出血
手の痺れ	手のしびれ感
左前腕仮性動脈瘤	偽動脈瘤
左膝裏の内出血	内出血
腹腔リンパ節転移	リンパ節転移
両側外耳道出血	耳出血
カンジダ外陰膣炎	外陰部腟カンジダ
右腕の湿疹	湿疹
便中にゴーストピル	錠剤糞便中排出
全身状態不良	全身状態低下
右ふくらはぎ痛	ふくらはぎ痛
移植片機能損失ＮＯＳ	移植片機能損失
右大腿骨頚部内側骨折	大腿骨頚部骨折
肺結核（１７才時手術）	肺結核
左腕内出血【皮下出血】	皮下出血
活性化自己リンパ球移入療法	リンパ球養子免疫療法
舌痛症	舌痛
造影ＣＴ精査	ＣＴスキャン
右肘の打撲	肘の挫傷
前額部に皮下血腫	皮下血腫
左肘滑液包炎	肘頭部滑液包炎
大動脈弁狭窄症による失神	無し
頻発性心室性期外収縮	心室性期外収縮
死亡【悪液質】	悪液質
僧房弁逸脱症	僧帽弁逸脱
両側アミロイド肩関節症	アミロイド関節症
左足趾石灰沈着症（母趾中足指関節）	関節石灰化
シャント部発赤	静脈穿刺部位発赤
左上腕部血腫	血腫
左右乳房多発性のう胞	乳腺嚢胞性疾患
食道アカラシアにて手術	食道アカラシア
摘脾術後	脾摘
夏バテ	熱疲労
両膝変形性膝関節症	変形性膝関節症
総胆管結石（平成１２年）	総胆管結石
右第３指背側ガングリオン	ガングリオン
黄斑部出血（左眼）	黄斑部出血
発疹、落屑	落屑性皮疹
シャント肢痛（シャント肢腫脹）	無し
口腔内異常感	口腔内不快感
両続発性緑内障	続発性緑内障
腰部の掻痒	限局性そう痒
下腿部骨折	下肢骨折
骨、肺肝転移	無し
好中球異常	好中球数異常
嚥下時不快感	咽頭不快感
低血圧性ショック状態	血液分布異常性ショック
スイカによるアレルギー	果物アレルギー
頸動脈狭窄症	頚動脈狭窄
右第10-12肋骨骨折	肋骨骨折
Ｓ３４虫垂炎	虫垂炎
網膜血管閉塞（右眼）	網膜血管閉塞
ランタン関連胃炎	胃炎
両感音難聴	感音難聴
顔にむくみ	顔面浮腫
ＣＨＤＦ	持続的血液透析濾過
右手腱鞘炎	腱鞘炎
副作用ＮＯＳ	副作用
高ビルビン血症	高ビリルビン血症
右大腿皮下出血	皮下出血
挿入時痛み	処置による疼痛
皮膚発赤（手指、腕、腹部）	皮膚発赤
直腸かいようからの出血	出血性直腸潰瘍
四肢-その他(診断名を記載のこと)腰椎悪性リンパ腫	骨悪性リンパ腫
消退出血の消失	無消退出血
乳腺良性腫瘍（繊維腺腫など）	乳腺線維腺腫
腹腔鏡下胆嚢摘出術	胆嚢切除
肝細胞癌切除	肝細胞癌
左大腿骨大転子部骨折	大腿骨大転子骨折
糖尿病性足壊疽	糖尿病性壊疽
拡大右半結腸切除	右半結腸切除
脳血管奇形の疑い	脳血管奇形
その他の脳梗塞（複数病因）	脳梗塞
タンパク尿	蛋白尿
交通事故（１０歳時）	交通事故
先天性低Γグロブリン血症	先天性低γグロブリン血症
胃炎、胃潰瘍	潰瘍性胃炎
紅斑、白斑（背中）	無し
左下顎腫脹（頚部腫脹）	頚部腫脹
あせも（首、背）	汗疹
左人工血管感染	血管インプラント感染
Ｓ状結腸癌（Ｓ状結腸切除術後２００７年）	Ｓ状結腸の悪性新生物
注射部位反応（掻痒感）	注射部位そう痒感
右下肢の麻痺	下肢麻痺
洞不全症候群の悪化	洞不全症候群
たこいぼびらん	いぼ状胃炎
左足糖尿病性壊疽	糖尿病性壊疽
上下肢の筋肉痛	筋肉痛
膵転移手術	膵転移
二次性副甲状腺キノウ亢進症増悪	続発性副甲状腺機能亢進症
冠状動脈ステント留置	冠動脈ステント装着
心室頻拍（トルサードポアン）	ＴｄＰ型心室性頻脈
嘔気（悪心）	悪心
胆管腫瘍	胆道新生物
右足関節炎	関節炎
血清Ｃｒ値上昇（１．４４）	血清クレアチニン増加
糖尿病性末梢神経炎	糖尿病性末梢性ニューロパチー
老人性皮膚掻痒症	老人性そう痒症
感染性粥腫	感染性粉瘤
